UnitCode,UnitName,Faculty
ATS1338,The language game: Why do we talk the way we do?,arts
ATS1339,Describing and analysing language and communication,arts
ATS1340,English for academic purposes,arts
ATS1343,Popular music in global perspective,arts
ATS1345,Music and history,arts
ATS1346,Music and culture,arts
ATS1347,Music ensemble 1,arts
ATS1348,Music ensemble 2,arts
ATS1353,Foundations of modern politics,arts
ATS1365,Introduction to sociology,arts
ATS1366,The individual and society,arts
ATS1371,"Life, death and morality (Introduction to philosophy A)",arts
ATS1515,Reading across cultures,arts
ATS1701,Terrorism and political violence: An introduction,arts
ATS1835,"Time, self and mind (Introduction to philosophy B)",arts
ATS1873,Introduction to international relations,arts
ATS1899,Music theory and ear training 1,arts
ATS1900,Music theory and ear training 2,arts
ATS1903,Introducing literature: Ways of reading,arts
ATS1904,Reading the city: Literary genres,arts
ATS1905,Chinese Introductory for background speakers 1,arts
ATS1906,Chinese Introductory for background speakers 2,arts
ATS1940,Chinese translation 2,arts
ATS1945,Australian government and politics,arts
ATS1959,Chinese translation 1,arts
ATS1960,"Conflict and coexistence 2: Jews, Christians and Muslims in the modern world",arts
ATS2001,Chinese introductory 1,arts
ATS2002,Chinese introductory 2,arts
ATS2003,Chinese intermediate 1,arts
ATS2004,Chinese intermediate 2,arts
ATS2005,Chinese proficient 1,arts
ATS2006,Chinese proficient 2,arts
ATS2019,"Perspectives on Indigenous Art: Production, meaning and symbolism",arts
ATS2020,"Colonialism in comparison: Australia, New Zealand and the Pacific",arts
ATS2039,Understanding modern China,arts
ATS2040,Understanding contemporary China,arts
ATS2043,Chinese translation for professional purposes 1,arts
ATS2044,Chinese translation for professional purposes 2,arts
ATS2056,"Race, crime and difference",arts
ATS2057,Genocide,arts
ATS2060,The art of teaching music performance,arts
ATS2063,French intermediate 1,arts
ATS2064,French intermediate 2,arts
ATS2065,French proficient 1,arts
ATS2066,French proficient 2,arts
ATS2075,Representing Paris: Literature and visual culture,arts
ATS2083,Bread and circuses: Performing identity in Greco-Roman cultures,arts
ATS2084,Ancient mythologies,arts
ATS2086,Leadership for social change 2,arts
ATS2087,Lifestyle journalism,arts
ATS2088,Russia and the US: Comparative politics,arts
ATS2093,German intermediate 1,arts
ATS2094,German intermediate 2,arts
ATS2095,German proficient 1,arts
ATS2096,German proficient 2,arts
ATS2104,The ethnographic endeavour: Capturing the Indigenous past to understand the Indigenous present,arts
ATS2105,Making performance 2,arts
ATS2106,A short history of the world: From the big bang to climate change,arts
ATS2107,Colonial America: From puritans to revolutionaries,arts
ATS2108,The modern family: A global history,arts
ATS2109,The commodities that changed the world: An introduction to globalisation and global history,arts
ATS2110,Slavery: A history,arts
ATS2113,Indonesian 3: Contemporary issues in Indonesia,arts
ATS2114,Indonesian 4: Stories and storytelling in the Indonesian archipelago,arts
ATS2122,Performance 3,arts
ATS2123,Performance 4,arts
ATS2127,Composition 3,arts
ATS2128,Composition 4,arts
ATS2129,Creative music technology 3,arts
ATS2130,Creative music technology 4,arts
ATS2138,The archaeology of world rock art,arts
ATS2139,Song writing: How to write a popular song,arts
ATS2141,Japanese introductory 1,arts
ATS2142,Japanese introductory 2,arts
ATS2143,Japanese intermediate 1,arts
ATS2144,Japanese intermediate 2,arts
ATS2145,Japanese proficient 1,arts
ATS2146,Japanese proficient 2,arts
ATS2159,Recording and computer music production,arts
ATS2161,"Indonesia now: Culture, conflict and crisis management in the Asian century",arts
ATS2162,Literature and visual culture,arts
ATS2163,The writing self: Creative nonfiction,arts
ATS2164,Italian transformations: Reading and writing self-discovery,arts
ATS2169,Photojournalism,arts
ATS2170,Arts international experience,arts
ATS2171,Korean introductory 1,arts
ATS2172,Korean introductory 2,arts
ATS2173,Korean intermediate 1,arts
ATS2174,Korean intermediate 2,arts
ATS2185,Biblical texts and contexts,arts
ATS2193,Spanish intermediate 1,arts
ATS2194,Spanish intermediate 2,arts
ATS2195,Spanish proficient 1,arts
ATS2196,Spanish proficient 2,arts
ATS2214,Italy on film (In country),arts
ATS2215,Ukrainian intermediate 1,arts
ATS2216,Ukrainian intermediate 2,arts
ATS2223,Italian intermediate 1,arts
ATS2224,Italian intermediate 2,arts
ATS2225,Italian proficient 1,arts
ATS2226,Italian proficient 2,arts
ATS2229,Intensive introductory Italian 1 (in country),arts
ATS2230,Intensive introductory Italian 2 (in country),arts
ATS2231,Intensive intermediate Italian 1 (in country),arts
ATS2232,Intensive intermediate Italian 2 (in country),arts
ATS2244,A history of American business,arts
ATS2247,Italian proficient 2 (in country),arts
ATS2249,Sustainable development in South East Asia,arts
ATS2250,Communications and cultures in the global era,arts
ATS2251,Cuba study tour,arts
ATS2255,Smartphone journalism,arts
ATS2256,Political psychology,arts
ATS2257,"Long-form television: ""HBO"" and beyond",arts
ATS2260,Developmental psychology: Behaviour across the lifespan,arts
ATS2271,Beowulf: An interdisciplinary approach,arts
ATS2275,The European Union from consensus to crisis,arts
ATS2280,Video games: Industry and culture,arts
ATS2290,Global leadership and advanced research program,arts
ATS2295,Screening contemporary Europe,arts
ATS2296,Musical theatre 1: History and form,arts
ATS2297,Musical theatre 2: Skills and performance,arts
ATS2315,Journalism and global change in Europe,arts
ATS2324,Climate change communication,arts
ATS2325,Cross-cultural literary encounters,arts
ATS2331,Music - Overseas study program 1,arts
ATS2332,Music - Overseas study program 2,arts
ATS2333,Jazz history,arts
ATS2335,"War and memory: Resistance, massacre and representation in second world war Italy",arts
ATS2344,Archaeology in Italy,arts
ATS2349,The golden age of Athens,arts
ATS2351,The archaeology of death in ancient Egypt: The early dynastic period to middle kingdom,arts
ATS2352,Egypt's golden age,arts
ATS2354,Interrogating racism: Indigenous Australians and the state,arts
ATS2355,Race and power: Imagining Indigenous Australia,arts
ATS2358,"Contesting laws: Heritage, culture and land",arts
ATS2359,Hearing the country: Studies in Indigenous Australian ethnoecology,arts
ATS2364,Indigenous Australian politics and activism,arts
ATS2365,Australian Indigenous literature,arts
ATS2366,Australian Indigenous art and design,arts
ATS2367,Australian Indigenous women,arts
ATS2369,Indigenous Australian human rights,arts
ATS2373,Visualising cultures: Film and ethnography,arts
ATS2378,The anthropology of international development,arts
